"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"4805","52","Masculino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Às vezes","Não",24540,4,"Não",102.25
"4808","56 anos","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Espírita","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",21300,9,"Não",39.4444444444444
"4809","56 anos","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",21300,9,"Não",39.4444444444444
"4826","28","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Identificação profissional com o tema","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",14700,7,"Não",35
"4831","48","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",43800,6,"Não",121.666666666667
"4832","52","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Desorganizado","Sempre","Não",25260,6,"Não",70.1666666666667
"4837","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Não",44400,2,"Não",370
"4839","54","Feminino","Ensino Médio Completo","Casado (a)","Outros","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",56160,2,"Sim",468
"4851","29","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Sim",31440,7,"Não",74.8571428571429
"4852","22","Feminino","Ensino Superior Incompleto","Solteiro (a)","Outros","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",43740,7,"Sim",104.142857142857
"4853","30 anos","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",46800,6,"Sim",130
"4854","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",53880,5,"Sim",179.6
"4863","30","Feminino","Ensino Superior Completo","Solteiro (a)","Outros","Católica","Sim","Não","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",57300,4,"Não",238.75
"4866","44","Feminino","Ensino Superior Completo","Divorciado (a)","-","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",29640,8,"Não",61.75
"4869","43","Feminino","Ensino Superior Completo","Solteiro (a)","Outros","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",32340,6,"Não",89.8333333333333
"4879","-","-","-","-","-","-","Sim","Sim","Para aquisição de conhecimento na área","Pouco adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",46860,5,"Sim",156.2
"4880","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",46860,5,"Sim",156.2
"4910","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",26340,4,"Não",109.75
"4911","37","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",40080,2,"Sim",334
"4924","44","Masculino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",4140,2,"Não",34.5
"4949","50","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",19500,5,"Não",65
"4951","58","Masculino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",20880,5,"Não",69.6
"4964","48","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",39360,7,"Sim",93.7142857142857
"4966","51","Feminino","Pós-graduação","Solteiro (a)","Orientador (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",39300,5,"Sim",131
"4969","48","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",31080,3,"Não",172.666666666667
"4970","44","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",38520,6,"Não",107
"4974","45","Masculino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Espírita","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",17220,5,"Não",57.4
"5034","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",26760,6,"Não",74.3333333333333
"5039","44","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Sim",44940,4,"Sim",187.25
"5048","44","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",20520,8,"Não",42.75
"5053","41","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","-","Sempre","Sim",30900,6,"Não",85.8333333333333
"5055","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",37920,8,"Não",79
"5056","46","Feminino","Ensino Superior Completo","Casado (a)","Diretor (a)","Católica","Sim","Sim","Identificação pessoal com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",5580,3,"Não",31
"5060","40 anos","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",45900,6,"Sim",127.5
"5065","47","Feminino","Pós-graduação","Divorciado (a)","Supervisor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Não",47100,7,"Sim",112.142857142857
"5071","52","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Espírita","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Às vezes","Não",58860,3,"Não",327
"5090","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",32700,5,"Não",109
"5091","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Às vezes","Não",32700,5,"Não",109
"5109","50","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",24780,6,"Sim",68.8333333333333
"5110","50","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Não",24780,6,"Sim",68.8333333333333
"5165","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",28740,5,"Não",95.8
"5169","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",25500,3,"Sim",141.666666666667
"5170","70","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",51660,5,"Sim",172.2
"5173","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",55260,3,"Não",307
"5174","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",55260,3,"Não",307
"5177","26 anos","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Sem religião","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Organizado","Às vezes","Não",55080,6,"Sim",153
"5181","44","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Organizado","Às vezes","Não",36000,4,"Não",150
"5185","49","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouquíssimo importante","Organizado","Raramente","Sim",61860,3,"Sim",343.666666666667
"5192","46","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",8880,4,"Não",37
"5214","44","Feminino","Pós-graduação","União Estável","Outros","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Organizado","Sempre","Sim",16140,4,"Não",67.25
"5216","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",39000,7,"Não",92.8571428571429
"5229","49","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Pouco importante","Organizado","Sempre","Sim",59220,3,"Sim",329
"5235","58","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Às vezes","Sim",15420,7,"Não",36.7142857142857
"5240","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",26760,3,"Não",148.666666666667
"5244","57","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",50220,5,"Não",167.4
"5245","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",50220,5,"Não",167.4
"5253","45","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",48720,5,"Sim",162.4
"5254","45","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",48720,5,"Sim",162.4
"5255","45","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",48720,5,"Sim",162.4
"5256","45","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",48720,5,"Sim",162.4
"5260","44","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Outros","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",63600,5,"Não",212
"5261","48","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",39540,5,"Não",131.8
"5271","45","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",48660,4,"Sim",202.75
"5272","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",53580,4,"Sim",223.25
"5278","45","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Raramente","Sim",45960,7,"Não",109.428571428571
"5283","49 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Identificação pessoal com o tema","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",36720,6,"Sim",102
"5284","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",48360,3,"Sim",268.666666666667
"5285","43","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Outros","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",1080,3,"Não",6
"5286","50","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",42900,4,"Sim",178.75
"5287","50","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",42900,4,"Sim",178.75
"5288","50","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",42900,4,"Sim",178.75
"5290","49","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",53640,4,"Não",223.5
"5294","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",37500,6,"Sim",104.166666666667
"5307","46","Masculino","Pós-graduação","Casado (a)","Professor (a)","-","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",57060,2,"Sim",475.5
"5308","46","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",57060,2,"Sim",475.5
"5317","55","Feminino","Pós-graduação","Divorciado (a)","Supervisor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",32100,3,"Sim",178.333333333333
"5336","50","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",38700,5,"Não",129
"5341","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",54060,2,"Não",450.5
"5357","41","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Sim",40080,8,"Não",83.5
"5376","40","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",21840,4,"Não",91
"5382","46","Feminino","Pós-graduação","Solteiro (a)","Outros","Outras","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Não",45180,6,"Não",125.5
"5385","54","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",21780,3,"Não",121
"5388","52 anos","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",40380,5,"Sim",134.6
"5421","39","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",44760,5,"Sim",149.2
"5430","42","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Desorganizado","Sempre","Sim",26340,6,"Sim",73.1666666666667
"5436","42","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",27480,8,"Não",57.25
"5444","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",49020,1,"Sim",817
"5457","43","Feminino","Pós-graduação","Outros","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",39360,6,"Sim",109.333333333333
"5459","43","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",3300,1,"Não",55
"5461","41","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Evangélica","Não","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Muito organizado","Às vezes","Não",57480,2,"Não",479
"5463","54 anos","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",38940,5,"Sim",129.8
"5470","27","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",7620,5,"Não",25.4
"5473","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",46380,5,"Não",154.6
"5477","25","Feminino","Ensino Superior Completo","Casado (a)","Orientador (a)","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",52080,4,"Não",217
"5479","40","Feminino","Pós-graduação","Casado (a)","Outros","Espírita","Não","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Sim",49740,3,"Não",276.333333333333
"5493","42 anos","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",12180,5,"Não",40.6
"5501","60 anos","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Pouco adequado","Pouco flexível","Importante","Organizado","Sempre","Não",58320,6,"Sim",162
"5506","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser um curso à distância","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",960,1,"Não",16
"5507","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",35520,3,"Não",197.333333333333
"5525","42","Masculino","Ensino Superior Completo","União Estável","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",50880,4,"Sim",212
"5529","41 anos","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",38040,5,"Sim",126.8
"5536","45","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",11640,4,"Não",48.5
"5546","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",60780,4,"Não",253.25
"5548","43","Feminino","Ensino Superior Incompleto","Casado (a)","Outros","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",35880,10,"Não",59.8
"5549","43","Feminino","Ensino Superior Incompleto","Casado (a)","Outros","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",35880,10,"Não",59.8
"5551","60","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",45360,4,"Sim",189
"5553","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",41580,2,"Sim",346.5
"5554","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",17940,7,"Não",42.7142857142857
"5560","47","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Espírita","Sim","Sim","Pelo fato de o curso estar vinculado à Universidade","Adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",9780,3,"Não",54.3333333333333
"5561","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",48540,4,"Sim",202.25
"5562","54","Feminino","Ensino Superior Incompleto","Divorciado (a)","Outros","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",26760,4,"Não",111.5
"5568","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",40860,6,"Não",113.5
"5569","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Organizado","Às vezes","Não",40860,6,"Não",113.5
"5570","48","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",36360,4,"Sim",151.5
"5573","48","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Não",31500,5,"Sim",105
"5580","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",44220,6,"Não",122.833333333333
"5581","54","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",44220,6,"Não",122.833333333333
"5583","59","Feminino","Pós-graduação","Viúvo (a)","Coordenador (a) Pedagógico","Sem religião","Não","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",30060,6,"Não",83.5
"5586","50","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Pouco importante","Organizado","Sempre","Sim",34440,6,"Sim",95.6666666666667
"5596","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",46020,3,"Sim",255.666666666667
"5602","41","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouquíssimo flexível","Importante","Organizado","Sempre","Não",10860,4,"Não",45.25
"5639","44","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",41160,8,"Não",85.75
"5640","43","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Não","Identificação pessoal com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",41400,6,"Não",115
"5642","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Às vezes","Não",53640,2,"Sim",447
"5654","39","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",46980,6,"Sim",130.5
"5666","41 anos","Feminino","Ensino Superior Completo","Solteiro (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",16740,3,"Não",93
"5671","41 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Às vezes","Não",34440,5,"Não",114.8
"5680","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",36720,4,"Sim",153
"5683","44","Masculino","Pós-graduação","Casado (a)","Outros","Evangélica","Sim","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",4680,7,"Não",11.1428571428571
"5697","61","Feminino","Pós-graduação","Solteiro (a)","Orientador (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",53640,4,"Não",223.5
"5698","61","Feminino","Pós-graduação","Solteiro (a)","Orientador (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",53640,4,"Não",223.5
"5700","38","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",16020,4,"Não",66.75
